Date,BBCA,BBRI,BMRI,BBNI
23/2/2024,9825,6125,7050,5900
22/2/2024,9875,6250,7100,5950
21/2/2024,9975,6300,7250,6000
20/2/2024,10025,6300,7150,6025
19/2/2024,9875,6100,7150,5875
16/2/2024,9950,6150,7200,6000
15/2/2024,9850,6125,7200,6000
13/2/2024,9725,6000,7025,5875
12/2/2024,9800,6025,7100,5950
7/2/2024,9700,5850,6950,5750
6/2/2024,9625,5825,6850,5775
5/2/2024,9575,5775,6825,5750
2/2/2024,9700,5850,6675,5775
1/2/2024,9700,5750,6550,5725
31/1/2024,9550,5700,6650,5750
30/1/2024,9650,5625,6650,5650
29/1/2024,9550,5575,6475,5575
26/1/2024,9350,5425,6300,5425
25/1/2024,9500,5525,6275,5400
24/1/2024,9525,5650,6400,5475
23/1/2024,9600,5700,6500,5425
22/1/2024,9625,5775,6500,5525
19/1/2024,9625,5800,6525,5500
18/1/2024,9675,5750,6525,5550
17/1/2024,9750,5775,6525,5550
16/1/2024,9700,5825,6525,5600
15/1/2024,9725,5825,6500,5625
12/1/2024,9700,5850,6575,5600
11/1/2024,9575,5750,6450,5600
10/1/2024,9550,5700,6425,5600
9/1/2024,9625,5700,6375,5650
8/1/2024,9575,5625,6400,5575
5/1/2024,9575,5750,6425,5575
4/1/2024,9475,5700,6350,5600
3/1/2024,9350,5600,6100,5350
2/1/2024,9425,5675,6125,5375
29/12/2023,9400,5725,6050,5375
28/12/2023,9400,5725,6125,5350
27/12/2023,9375,5625,6000,5275
22/12/2023,9325,5675,5975,5250
21/12/2023,9325,5575,5975,5150
20/12/2023,9300,5550,5925,5200
19/12/2023,9250,5550,5975,5200
18/12/2023,9200,5500,5925,5200
15/12/2023,9225,5550,5900,5275
14/12/2023,9050,5550,5950,5350
13/12/2023,8675,5300,5725,5175
12/12/2023,8700,5325,5800,5275
11/12/2023,8750,5300,5775,5175
8/12/2023,8750,5375,5700,5075
7/12/2023,8825,5475,5750,5275
6/12/2023,8800,5425,5800,5225
5/12/2023,8900,5450,5975,5300
4/12/2023,8925,5500,6000,5300
1/12/2023,8950,5350,5900,5250
30/11/2023,8975,5275,5850,5275
29/11/2023,8900,5300,5850,5225
28/11/2023,8875,5350,5900,5175
27/11/2023,8875,5350,5900,5275
24/11/2023,8925,5400,5875,5200
23/11/2023,8925,5350,5900,5150
22/11/2023,8875,5275,5875,5075
21/11/2023,8775,5200,5875,5075
20/11/2023,8875,5250,5875,4980
17/11/2023,9075,5225,5900,4980
16/11/2023,9075,5250,5925,4950
15/11/2023,9050,5250,5925,4980
14/11/2023,8925,5075,5825,4880
13/11/2023,8875,5025,5825,4890
10/11/2023,8825,5075,5775,4860
9/11/2023,9000,5200,5875,4860
8/11/2023,9000,5225,5850,4880
7/11/2023,8975,5250,5875,4940
6/11/2023,9050,5200,5925,4970
3/11/2023,8900,5100,5825,4890
2/11/2023,8850,5000,5900,4870
1/11/2023,8600,4830,5650,4820
31/10/2023,8750,4960,5675,4790
30/10/2023,8850,5000,5725,4850
27/10/2023,8700,5000,5700,4850
26/10/2023,8725,4920,5700,4880
25/10/2023,8875,5175,5850,4970
24/10/2023,8775,5100,5750,5000
23/10/2023,8850,5000,5675,4990
20/10/2023,8975,5050,5750,4970
19/10/2023,8750,5000,5725,4940
18/10/2023,8850,5150,5850,5125
17/10/2023,8950,5150,6000,5200
16/10/2023,9100,5250,6025,5200
13/10/2023,9075,5275,6075,5175
12/10/2023,9050,5300,6075,5325
11/10/2023,8925,5250,6050,5175
10/10/2023,8925,5175,6000,5200
9/10/2023,9050,5125,5900,5100
6/10/2023,9025,5175,6025,5200
5/10/2023,9075,5175,6125,5175
4/10/2023,9200,5250,6125,5175
3/10/2023,9200,5275,6075,5200
2/10/2023,9075,5250,6050,5150
29/9/2023,8825,5225,6025,5150
27/9/2023,8875,5225,6000,5050
26/9/2023,8950,5200,5925,4980
25/9/2023,9000,5300,6000,5025
22/9/2023,9075,5350,6000,4870
21/9/2023,9125,5350,6000,4800
20/9/2023,9150,5375,6075,4780
19/9/2023,9075,5375,6000,4720
18/9/2023,9000,5325,5900,4670
15/9/2023,9000,5375,5925,4730
14/9/2023,9100,5425,5825,4720
13/9/2023,9075,5400,5850,4670
12/9/2023,9100,5375,5875,4650
11/9/2023,9125,5425,5925,4720
8/9/2023,9125,5350,5900,4680
7/9/2023,9175,5450,5875,4750
6/9/2023,9150,5575,6050,4780
5/9/2023,9225,5625,6100,4810
4/9/2023,9225,5625,6100,4720
1/9/2023,9225,5575,6075,4580
31/8/2023,9175,5550,6025,4580
30/8/2023,9200,5525,5975,4600
29/8/2023,9250,5600,5950,4570
28/8/2023,9200,5550,6000,4550
25/8/2023,9275,5600,5900,4550
